tid,id,tweet_text,label_awareness_infection,label_self_other,label_related_notrelated
5069209913,52,Finally getting over this darn FLU. Just happy it was NOT H1N1.,0,1,-1
5248835905,53,@scarytales Oh fuck off CTV News and your fear mongering. Kids are not going to get swine flu from trick or treating. >:(   +1,1,0,-1
5493367106,54,Im not well... & all i seem to be getting  is guy grief! Er hello im in bed with flu. Give me a break!!! Grrrrrr,0,1,-1
5520728400,55,Passing legislation is easy compared to getting either kind of flu vaccine to Kentucky. Yet Congress probably believes it is useful.,1,1,-1
5233811803,56,RT @AdamWSYX6: Getting my seasonal flu shot today  first one ever. And going in early for H1N1 clinic story.  Expect lines.,1,1,-1
5985427808,57,@AdamSchwabe  Is getting a flu shot recommended if you're already ill?,0,1,-1
5717655907,58,It occurs to me that getting a super bad flu bug was some sort of cosmic joke on me for being  Swine Flu  on Halloween.,0,1,1
5208629604,59,not feeling well...  I hope I am not getting the flu.  Went home early  and not allowed back for the rest of the week.  work from home then.,0,1,1
5276836200,60,Why does the flu bug hit when exciting plans are planned? I feel like death... Thanks for getting me sick @johnnys65!,0,1,1
5423366508,61,Joe Collier on swine flu and ministries of fear: One thing about the current swine flu pandemic is that it has .. URL my worry is the flu being bad this year  and HWNerd1. I was told the flu shot is better than getting the vac for H1N1,1,1,-1
5399929207,63,Being surrounded with peeps that have the swine flu sucks cause every little sneeze and cough makes me nervous that I'm getting it..,0,0,1
5220417913,64,i am getting sick! who needs a flu shot when u can get it the natural way!,0,1,-1
4668110607,65,@ChristiRamirez I remember getting a flu shot once at a school district in California for $7 bucks.,1,1,-1
5433524610,66,@JennaRJacobson meee toooo. everyone around me is getting the flu or h1n1. i need to be healthy,0,0,1
5100574103,67,AT THE DOCTORS WITH MT BOYS GETTING THEIR FLU SHOTS PABLOS GONNA FUCK A NURSE UP WHEN HE GETS HIS... OHHHHHH MAN!!! ... URL over the mini-flu after my H1N1 shot.  My son also seems to be doing better now.  He'll hopefully sleep tonight!,0,1,1
5732352405,69,Thinks he's getting the flu :(,0,1,-1
4530282905,70,Madison now has strep throat  & I'm still thinking I'm thankful it's not the flu.,1,1,-1
5481890205,71,@HealthyLoserGal bday was great  except for 3 kids w/fevers! They still have flu  no signs of getting better:-( thx for asking!,0,0,-1
4555383207,72,Waiting in line for a flu shot with the  early bird special  set.,1,1,-1
5433467305,73,My mom has called me more times in the last 3 days than the last 3 yrs... The media has scared everyone about havin the flu these days...,1,0,1
5291434410,74,Is better from the flu but now im getting a cold and i hate the snow that was on the ground this morning,0,1,1
5431990314,75,Me no feel good. :( Wonder if I'm getting the piggy flu....,0,1,1
4312408511,76,I'm sick :/ and there's swine flu @ School! I'm scared!,0,0,-1
5237907914,77,I thought about flying to china tomorrow just for the hell of it  but I don't want to get bird flu,1,1,-1
5078505907,78,Is getting his seasonal flu shot.,1,1,1
5369807313,79,I'm a little but scared of the swine flu  because it seems like everyone around gets ill... Me either,1,1,1
5423587801,80,pidgeons all around me ill prolly catch da bird flu,1,1,-1
5915722210,81,Meanwhile  I sat home alone worried and still trying to recover from my bout with the flu. fml,0,1,1
5270602212,82,Dallas news cautioning people not to camp out overnight at clinics to try to get vaccine. I think this flu panic is getting out of control.,1,0,-1
5241119206,83,This swine flu thing is getting to my nerves.... at school we are preparing Hallowe'en... spooky,1,1,1
4024130300,84,of course  on top of everything else  I feel myself getting thisclose to the flu. if I had balls  this week would be kicking me in them now.,0,1,-1
5173240310,85,@seriouslysteve i think im getting the flu :/,0,1,1
5302993400,86,This is a lousy weekend to be getting sleepy at 8pm. Flu and I need to talk.,0,1,1
5116617211,87,Couldn't go out with the girls for dinner tonight since I'm still getting over the flu  instead they're coming over for dessert and movies!,0,1,-1
5313586602,88,Up here at Ballou getting the kids the h1n1 shot. No swine flu in my house. Lol        AB 4 LIFE!,1,1,-1
5572330001,89,love a friday the 13th deadline  getting over the flu & tryin to prepare for a 3 week trip on the 14th. my dog needs to step up & help out,0,1,-1
5041799705,90,REAL QUICK- TRY T0 SH00T THE METE0R SH0WER WHILE GETTING PE0PLE SCARED 0F SWINE FLU  0K?,1,0,-1
5932278302,91,i think ive just about gotten over this flu  but still taking it easy tonight getting my c-span on,0,1,-1
5149016611,92,Some radio moron claimed 37 000 deaths a year are attributed to the flu. That is a completely made up statistic.It is all fear mongering.,1,0,1
5642983504,93,Stella urges me to purchase a 'holy water machine' in case of Swine Flu. I am more concerned that we ward off Vampires (Mr S Cowell etc.).,1,0,-1
5076427307,94,At The Mollen clinic getting my flu shot.  I wonder if it's on #foursquare,1,1,-1
5455438407,95,So miserable today. Hope I'm not getting the flu-I just got over an effing sinus infection! I hatehatehate this constantly changing weather!,0,1,1
5371282000,96,URL Student health has flu vaccines. Some have reservations URL. Anyone not getting a shot want to tell why?,1,0,-1
5081072213,97,I do really hate getting sick... Head  body  breathing hurt... Coughing doesn't help either... But  it's not the piggy flu  thankfully!,0,1,-1
5310046812,98,Getting over nasty flu  apartment situation getting settled  starting to get back into action...,0,1,-1
5862711902,99,is probably getting the flu -.-,0,1,-1
5403042407,100,Just rec'd notice of statewide shortage of flu vacc. for  non-school flu shot clinics . Not saying it'll be like yr 1918 but still worried.,1,1,-1
4092428910,101,Darlington battling the flu this week  but s'western playing tough after getting drilled by mineral pointast week.,0,0,1
5259797110,102,@tcollen yeah I did.  Totally wrecked by the flu. Think I am getting better though.,0,1,-1
5240562310,103,i think im getting swine flu,0,1,1
5298725512,104,Are you getting enough Vitamin D(in food or supplements?).Adequate D levels can help your body flight the flu! Get 1000 IU/day,1,1,-1
4707779209,105,@peg_adams They give the seasonal flu shot at work for free  so I always get it. H1N1  I'm not getting - I'm not in a high risk category,1,1,-1
5623947914,106,#travel Swine Flu Airlines Flights (source: About): A big concern for many passengers when speaking of i.. URL Is there any mum who hasn't had such thoughts? RT @tiggermom Is it wrong that I wouldn't mind getting swine flu so I could have a rest,1,1,-1
5323522701,108,Happy Halloween everyone..  I'm stuck at home with the flu but dont worry its not swine flu =p,0,1,1
5400126106,109,RT @Moronail People worried about swine flu. URL #humor,1,0,1
5185397405,110,@hannajaneprice oh no! How you feeling? I'm just getting over a bout of the flu  not sure if it was the dreaded swine though!!!,0,1,-1
5500592802,111,had the flu for a week  now i might be getting strep. FABULOUS. fml.,0,1,1
5493531304,112,Stuck home with the flu but getting better :D,0,1,1
2079621803,113,just heard odd crackling sounds in yard; went out to find Buddy making a meal out of a dead bird :( He's such an animal. No bird flu please!,1,1,-1
2082800302,114,sickkkkkkkkkkk  scared of the swine flu.,0,1,-1
5488730805,115,aw crikey. wasn't worried  now I could have swine flu. of course. all i can do is laugh when ridiculous stuff like this happens to me. of co,0,1,-1
5191787205,116,Planning family outing tomorrow... getting our H1N1 Flu shots. Sounds like so much fun.,1,1,-1
5051373004,117,Woo hoo! Got my seasonal flu shot last week  and just found out I'm getting my H1N1 Friday. Phew. Flu is a potentially deadly threat for me.,1,1,-1
5204181709,118,@doomydoom Exactly. And that's why  swine flu or regular flu  I worry for that kid. I hope he doesn't get anything in the hospital.,0,0,1
5605254605,119,Keep thinking I'll shut my eyes for few min & feel better  but wake up hrs later confused & feel worse. How far into Flu Land will I fall?,0,1,-1
4472636113,120,@serrot uhm  not getting the flu? also ilthe baby lotion you left me tbh,1,1,-1
5131076307,121,correction: why is everyone so afraid of Swine Flu,1,0,1
5657617110,122,Everyone in my family is getting sick! ugh. getting the swine flu shot tomorrow... then spendin a couple days with  ... URL the Swine Flu! :O but better now. Loving Bad Romance Vid @ladygaga :) getting ready for NEW MOON  just like every other teenage girl. ha,0,1,-1
5491540710,124,Anyone who doesnt mind getting the flu want to hang out :P being sick = shit.,0,1,-1
5807039210,125,@readhead504 Thanks! Yeah  very excited. More excited right now that I'm getting well after the flu. I'm too on prednisone. Yuck.,0,1,-1
5184144107,126,getting a pig flu shot soon!,1,1,1
5458584302,127,Don't let me scare anyone who's been around me. I don't like doctors for personal reasons  not fear. No confirmed swine flu....,1,1,-1
5100359810,128,i keep getting all the symptoms of swine flu  but not at the same time,0,1,-1
5173274111,129,Morning??? Already? It's gonna be a long week capped off by the fam flying to Oklahoma. Will we make it swine flu free? I'm nervous.,1,1,1
5343059406,130,My long weekend is almost over  arm is still sore from getting the H1N1 shot-hopefully it is preventive and for the right strand of the flu,1,1,-1
5657592604,131,I just realized I don't think I've had a bra on in like two weeks. Getting the flu really makes one 'let them selves go',0,1,-1
4618036005,132,I either ate some bad pork or I am getting the flu. Tummy Not feeling good.,0,1,1
5423522600,133,worried I'm getting a cold. yes a cold  NOT swine flu. people still get those..,1,1,-1
5120099114,134,Flu gone and now working hard building more websites and getting members joining as many people need extra recessio ... URL desperately worried about my kids catching swine flu at school.  Because then they might infect me!,1,1,-1
5155447600,136,@AF3LMike You feeling better  Mike? I feel for anybody getting flu-like symptoms...,0,0,-1
5251207307,137,@carareed He's getting like 3 shots. no flu till nov though,1,1,1
5459084105,138,Possibly the worst flu I ever done had. Can't move my head without getting dizzy. Is this what blondes feel like all the time?,0,1,-1
5424571211,139,Ok now I'm getting freaked out - how many people on here have had the swine flu? OMG I think.............nah it... URL TRUE!  RT @HarrisonHand: Fear feeds illness. Don't let flu hysteria make you sick.,1,1,1
5120459607,141,@FakerParis I did  I went yesterday afraid it was swine flu but I have pharyngitis  my throat is completely shut down. started antibiotics,1,1,-1
5147091803,142,RT @BrianNeudorff: Thinking I should be either the H1N1 flu or vaccine for Halloween. B the vaccine  it's much rarer!,1,1,1
5629805408,143,getting flu & H1N1 vaccines in a bit .,1,1,-1
5640881002,144,RT @InFamOusAnGeL damn swine flu killed 4000 ppl already <~are yu scared causr yu sick (God forbid ),0,0,1
5680817005,145,Getting my H1N1 flu shot,1,1,-1
5179876208,146,Anyone else terrified of getting the swine flu??,1,1,-1
5392868214,147,Sid the Science Kid had an episode on the importance of getting your flu shot today.  It's my new favorite cartoon.,1,1,-1
5151835000,148,had severe flu this past week  finally getting over it now thank goodness!!,0,1,-1
5078213505,149,Might be getting the flu... Hope to god not. I have things to do. Film and work can't take a break.,0,1,1
5287216002,150,@claire_90 injections don't bother me... I am so used to them. I will be getting a flu shot as soon as my clinic has it.,1,1,1
5203607702,151,Just booked time off to take Finley to one of the H1N1 flu shot clinics here in Ottawa. Long waits but I think it's better than getting it.,1,1,1
5175698310,152,Hiding from code enforcement. Nap and getting checked out for the pig flu URL possibly have the worst timig for getting the flu. No NCAA's for Becca:(,0,1,-1
5615526810,154,Aythan is on the 'at-risk' list for swine flu  and is getting Tamiflu. Health Centre's only getting 10 vials. Must be serious :s,1,1,-1
4578427806,155,RT @CoachCharrise: OK Now I have the bird. ( Oh No! It's worse than the swine Flu! Ha! LCW),0,1,-1
5193335711,156,Getting seasonal flu vaccine out to caregivers this week.  Golden Living providing to all employees for free.  Still awaiting H1N1 vaccine.,1,1,-1
6003319713,157,Getting a little fed up with having (Insert Random Animal) flu. Most depressing.,0,1,1
5048968109,158,is worried that her baby has the flu. :(,0,0,-1
5259723700,159,is about to head to class  getting a flu shot and heading home  Firdays almost here!,1,1,-1
5221016506,160,feels like crap  think im getting sick  hope its just the flu and nothing more...,0,1,-1
5620278210,161,@MarnieMacLean ah the joys of getting old. At least we know when the weather is changing...oh  wait  are you cause of the flu?,1,1,1
5242225614,162,@UptownBaby it driving me nuts. My mom is getting paranoid. She brought me the flu shot home from work and shot me herself lol.,1,0,-1
5676925911,163,An added benefit from getting the flu and  sleeping for 48 hours straight? The joy of posting fb and twitter updates at 3:12AM....,0,1,1
3736117413,164,@lbilben As the CBC story said  swine flu in hogs is not a food safety concern. Enjoy your pork chops!,1,0,1
5713314803,165,I am getting a cold.. hope that it is not that dreaded flu... no time in my  life for that.. will take nasal salt treatments  and vit C,1,1,-1
5179098105,166,I've been sick 4 a week. Now I'm getting better. I hope it's not a swine flu that the world is trying 2 find the way 2 stop its spread.,0,1,-1
5349082107,167,@LieselotteDolly ugh dammit i dont want the flu  but no way am i getting a shot >< *shudders* i'll go if i'm not better tomorrow,1,1,-1
5104960513,168,@bilerico my niece was in the ER 3 hrs this morning getting tested for flu & waiting for a scrip. It's heinous. Hope Jerame gets help soon!,0,0,1
5876040709,169,Sat next to Napolean Dynamite in line to get flu shot. Gosh! A little boy's only concern is if McDonald's will be open when we're done.,1,1,-1
4136789004,170,Okay  the movie I was at  so many people were coughing. I'm afraid I'm going to catch a flu  then I can't go to the frightdome in 2 weeks :(,1,1,-1
5918860304,171,Getting better no more piggy flu 4 me It was nasty  dont wish it on anyone.Ppl wash ur hands and use the hand sanitizer TRUST ME,0,1,1
5356577809,172,wants to scratch my flu shot  but is scared that something horrible might happen. but don't know what it is.,1,1,0
5849236502,173,Must be getting over the flu. Just got an erection for the first time in several days. Zombie penis lives!!!,0,1,1
5250917408,174,Is at the hospital thinking of how much money I could have saved  just for a fancy way of telling me I have the flu,0,1,1
5118002210,175,@nikonninja Not you too? Man  everyone is getting the flu! I know they said it would peak this week; didn't realize they meant for everyone.,0,0,-1
5076026408,176,And @lizzie11 says the best part of her day is getting hugs from her 4th graders and having them couch in her shirt with swine flu.,0,0,-1
5495252011,177,@BADSenoritaa me too... I think I'm getting the flu :-(,0,1,1
5894317109,178,Getting my h1n1 vaccine today. No swine flu for me!,1,1,-1
5173216310,179,At the dentist's office and concerned that I'll contract swine flu if I touch one of the obligatory waiting room magazines.,1,1,1
5109326905,180,is getting over the flu. it sucks ... URL lol. I'm faaaaarrr from lazy. Lol. I'm on my way to work. I feel like shit. I think I may be getting the flu.,0,1,1
5131560010,182,Don't buy into hysteria created by media about swine flu. Fear of illness and death was promoted by media in 1917-1919 flu pandemic also.,1,0,1
5220808205,183,@morriswm What  did you ignore my 20-tweet rant about getting kids vaccinated last week? I'm ONLY referring to the flu vaccine.,1,1,-1
5325760014,184,--- I'm ever so slowly getting over the illness. I have yet to actually go to the doctor to see if it's swine flu. I'll find out eventually.,0,1,-1
3856794710,185,everyone has been getting sick. were all getting the swine flu :D haha,0,0,1
5305664602,186,I'm extremely sacred of getting the swine flu tonight...I don't like it. It's not going to stop me from eating bacon at Denney's  though. :),1,1,-1
5125645404,187,My wife is getting a drive through flu shot. No joke.  URL Antonio: Millions Without Sick Leave Fear Swine Flu URL has the flu. Sad. I'm still going to record WoW Raiding 101 Episode 2 tonight  don't worry. XD.,0,1,-1
5166720101,190,is pretty sure she's getting the flu :(,0,0,1
5050295406,191,Hit with flu-like symptoms after UKLUG and only just getting back on my feet. Missed Twitter and TweetDeck more than I thought,0,1,1
5057258607,192,... I better not be getting this damn flu. ... URL I get the swine flu shot tomorrow? Almost everyone is getting one.,1,1,-1
5248861305,194,is finally getting over this flu..,0,1,-1
5067826306,195,I'm genuinely not worried abt the swine flu & I'm sure my body could fight it off if I got it. Should I still get the vaccine though?,1,0,-1
5213545606,196,@GraceyJones I've been hugging her most of the day!  Motrin's just reducing fever  not getting rid of it.  And her ped was happy it's flu?,0,0,1
5316894913,197,@kellidaisy...hysteria surrounding this flu is ridiculous. Poor parents have had the crap scared out of them. Situation was handled poorly.,1,0,-1
5925430409,198,@achoi02 Yeah I don't mean rlly. Only cuz the whole point of getting the flu shot every year instead of once in ur life is due to evolution,1,1,-1
5287896204,199,Finally get 2 go 2 beack 2day w my wife. No surfing  still getting over the Flu.,0,1,-1
5602878606,200,@BeachHut81 trying to recover from this awful flu. Just about getting there now!,0,1,1
5177812113,201,not feeling so hot  I hope I am not getting the flu,0,1,-1
5420106901,202,Stay away everyone - I'm getting the flu,0,1,-1
5860213913,203,Horrible day today the rain has not stoped and i'm stuck in the house but not for long getting my swine flu jag today.,1,1,1
5285758112,204,@darrmurr:   Schweinegrippe   Germans are worrying less about swine flu? Seems like it. // We worry more about flu shot with adjuvants.,1,0,1
5403436213,205,Flu  flu  flu......go away!  Did not think it could get worse  but yet it does......I must be getting old as it is hitting me hard!,0,1,-1
5867218110,206,@nelsonh31 Seems like swine flu is less mild than regular flu  so I don't worry about it either.,1,0,-1
5239309509,207,@djgrl getting the flu shot  URL son had a high fever since last weekend. I worried if he took a new flu or not. I brought him to the hospital immediatey.,0,1,1
5315908013,209,Getting a 'free' flu shot ..... You  Would think it is a national emergency with all the fully armed police around and 4 check point 2 get in,1,0,-1
5505574106,210,finally getting over the flu bug - whats next?,0,1,-1
5908210907,211,@Indianadelae last time I felt like I was getting the flu  I felt bad for a day  then woke up fine the next.  Hoping that happens again!!!,0,1,1
5461443805,212,I'm getting the damn flu! I have body aches and have a fever! I have to work tonight also! Not gonna be a fun night,0,1,-1
5219476705,213,getting my swine flu (H1N1 for you scientific folk) immunization tomorrow,1,1,-1
5193057506,214,Flu season is getting closer.  Flu shots will be given.  Sore arms go along with the prevention of the flu.,1,0,-1
5488993508,215,I'm beginning to wonder why most Korean stars are getting swine flu...? Why aren't they getting the shot...?,0,0,-1
5202388207,216,Thinking about whether or not I should receive the Swine Flu vaccine...,1,1,-1
5426644211,217,@BrandonCorbitt1 mean person! haha DUDE i might be getting sick again! mom and i believe i didnt have the Flu.. :/ but my Voice is gone!!,0,1,-1
5388977400,218,jonghyun-ah  get well. swine flu seems to be the  in  thing in seoul right now  eh? k. will  hyunjoong and others are getting it. aish!,0,-1,-1
5179360510,219,I know  this is a flu season but you can help yourselves by eating  a well balanced diet exercise and getting enough sleep,1,1,-1
5239170304,220,Anybody that is overly worried about swine flu should be shown this; URL Hope you aren't getting the flu!,0,0,-1
3721905410,222,Wat wit all this swine flu worry does anyone remember when all we had to worry bout was bird flu? Ah the olden days!,1,1,1
5486576901,223,Had to take Erika to the ER tuesday morning with a 104 fever still swine flu she is getting better now I've got it. This sucks!!!!,0,0,-1
5609243912,224,Feeling worse than ever. Fear this is actually the flu. Unsure if it's worthwhile to see my doctor for a formal clinical diagnosis.,0,1,1
5258626313,225,I'm getting my free Swine Flu shot at USM right now.,1,1,-1
5167818004,226,Sub plans complete. Have to go in to school to do some quick prep  then home to take care of my sick boy. Bad fever. Worried it's swine flu.,1,1,-1
5382964501,227,@PetersonGIS she is high risk category - ability to have shot and monitored (potential) allergic reaction better than getting the flu,1,1,-1
5262687109,228,Consider doing a salt water gargle twice a day and flushing nose out with warm salt water to decrease your chances of getting the flu!,1,1,-1
5482953607,229,getting over this flu .,0,1,-1
5166196013,230,@imjust_sayin sympthoms of the flu!!! this shyt is for the birds *cues bird call*,0,0,1
5192017210,231,feeling like death... had my swine flu shoots yesterday and now feel worse than ever! wtf! thinking bed sounds perfect right about now.,1,1,-1
2076116304,232,@bevbeaver dude who said u have swine flu? i heard frm sam someone was saying u have swine flu.... (i know u dnt  dnt worry) :) jst askinn,0,0,1
5382202705,233,eyes frikkin burn  headache  no energy  fever? -----> swine flu ? getting my shot tomorrow ! BBL.,0,1,-1
5822355001,234,It took three weeks but I still could not recover from the shwine flu. We - all the family is ill!!! Damn this is getting boring...,0,1,-1
3872941402,235,jesus christ all the EGM/1Up people are getting swine flu D; Worst day ever.,0,0,1
5401104614,236,Anyone in my city keeping their kids home from school to avoid getting sick  with our without having gotten the flu shot?,1,1,-1
5618861414,237,Im getting the vaccine for H1N1 (swine flu) today :P,1,1,-1
5608113512,238,Omg swine flu has hit my hometown!! I'm scared to go home this weekend!!,0,0,1
5277779312,239,@Anntastic23 I can't tell if they are outside her house. @jittzpattzing swine flu!? Oh geez now I am worried.,1,1,-1
5627594103,240,Or make your own URL  RT: @rachaelrecker  If getting flu or H1N1 shots  ask for Thimerosal-free single dose.,1,1,-1
2053219704,241,internet getting slow  and i feel like i'm gonna be sick  don't scare me that it's a swine flu pls  because i'm already scared!,0,1,-1
5520696709,242,Having finally recovered from swine flu  I mute the TV when Dems speak for fear of a relapse. Talk about sickening!,0,1,-1
5478720907,243,i am getting a really bad caugh  if i'm getting that bloody pig flu i will not be impressed!,0,1,1
5372224908,244,@ddubswifey69 got home early today. feels like i am getting the flu,0,1,1
5180016014,245,So whats with the warning obama's been talking about in L.A.? I fear heading back there now.. How you all dealing with this swine flu alert?,1,0,-1
5634581910,246,I think we might be getting hit with the spooky swine flu,0,0,-1
5265843611,247,Nice! RT @mpoppel: RT @heidilore: Swine Flu paranoia getting out of hand!! URL think I am getting sick now. Thank you to all who have shared the flu with me.,0,1,1
5103248809,249,getting ready to leave for work.  I am praying that I don't catch the stmoach flu from my grandmother,0,0,1
5047961002,250,i haven't had the flu in over a decade...but i'm gettin worried this will be my year,1,1,-1
5392442814,251,my 5yr old son is home sick with flu  playing xbox & repeatedly singing opening melody to Lion Sleeps Tonight. Should I be worried?!,0,0,-1
5357028801,252,Okay so question? I am really scared about that H1N1 bc all these confusing stories. you would be really sick right. kinda like the flu,1,1,1
5209777604,253,You getting a flu shot? I'm still not sure. Latest on vaccine from Dr. Gerry Predy LIVE at 6:50 on BT Edmonton.,1,1,-1
5929960907,254,in bed with cramps :( coughing and sneezing im getting the flu for sure URGHHH just my luck!!,0,1,-1
5435983309,255,@marieosmond Glad to hear you are getting better from the flu! Mary Hart mentioned it on ET!!,0,0,1
5352121807,256,@ElementalCrow If you're worried about the Swine Flu  this should help relax you URL Got my flu shot yesterday. I usually get sick after  but so far nothing-getting sick hits me pretty quick-I'd get it though.,1,1,0
5357364702,258,OMG. sore throat. neck pain. fever. im getting the flu out of no where. WHO THE F GAVE IT TO ME!? im drinking a gallon of oj & going to bed,0,1,-1
3959186913,259,First vertical day after getting the flu. Call it whatever animal you want  it doesn't make it any cuter.,0,1,-1
4801742306,260,@sjb14 Just working on my new album and going 4011...just getting over the flu and shit....How was NY?,0,1,-1
5315692006,261,Getting H1N1 shot today! I like to say swine flu instead! They are pigs!! Your not gonna hurt there feelings! URL #fb,1,1,1
5361051111,262,Even though it's not your age  thank you for getting the flu jab.  Got a very busy weekend coming up....,1,0,-1
5476664809,263,Got the flu. Last night was rough but im getting better,0,1,-1
3644630507,264,The approach of winter and flu has you worried? Worry no more Click Me for Health Now URL recovering from the flu  and getting back to work.,0,1,-1
5878195711,266,Parents should not fear intranasal flu vaccine. URL are all of them getting swine flu???? OMFG D:,0,0,-1
5287159303,268,@AlbertinaPdC Flu  I fear. I'm actually on leave  was meant to be walking the Northumbria Coast Path today!,0,1,1
5908424206,269,is down with a cold. To be clear  I was already feeling sick before getting the H1N1 and seasonal flu shots.,1,1,1
5227669007,270,Swine flu fear is now a full blown pandemic in T.O. Go media go!,1,0,1
5158250000,271,@DariusAmore I'm good. Just getting over a mild case of the flu. How are u?,0,1,-1
5045823000,272,Getting the flu ... I can feel it ... ugh !!,0,1,-1
4346136100,273,@Liejohns please stop saying stuff about the swine flu!!! It's getting old!!! I love you and hope your feeling well!,0,0,-1
5205575206,274,is getting sprung today :) flu neg  but has to start antibx. feeling better & can't wait to get home. thank you Lord!,1,1,1
5317404202,275,@BevJack worried why? it's like a reg flu shot. i'd be more worried about getting H1N1,1,1,1
